factgrid_id,collection,wikidata_id,collection_name,collection_name_native,name_native_iso,collection_url,wiki_url_eng,wiki_url_native,collection_id,cdli_id,collection_holding,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,osm_id,osm_type,geonames_id,notes,url_native_iso,to_be_deleted,cdli_url
,"Bibliothèque de Rouen, Rouen, France",Q2901555,Bibliothèque de Rouen,Bibliothèque de Rouen,fra,https://rnbi.rouen.fr,,,765,1220,Library,,Agency,Public,0,FRA,FRA.9_1,FRA.9.5_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1220
,"Bibliothèque Nationale, Luxemburg, Luxemburg",Q856651,Bibliothèque nationale du Luxembourg,Bibliothèque nationale du Luxembourg,fra,https://bnl.public.lu/fr.html,https://en.wikipedia.org/wiki/National_Library_of_Luxembourg,https://fr.wikipedia.org/wiki/Bibliothèque_nationale_du_Luxembourg,766,1198,Library,Extant,Agency,Public,1,LUX,LUX.3_1,LUX.3.3_1,470049068,way,0,,fra,0,https://cdli.mpiwg-berlin.mpg.de/collections/1198
,"Bibliothèque Nationale, Paris, France",Q193563,Bibliothèque Nationale de France,Bibliothèque Nationale de France,fra,https://www.bnf.fr/fr,https://en.wikipedia.org/wiki/Bibliothèque_nationale_de_France,https://fr.wikipedia.org/wiki/Bibliothèque_nationale_de_France,767,1305,Library,Extant,Agency,Public,1,FRA,FRA.8_1,FRA.8.3_1,,,6452876,,fra,0,https://cdli.mpiwg-berlin.mpg.de/collections/1305
,"Bijbels Museum, Amsterdam, Holland",Q2919762,Bijbels Museum,Bijbels Museum,nld,https://www.bijbelsmuseum.nl,https://en.wikipedia.org/wiki/Bijbels_Museum,https://nl.wikipedia.org/wiki/Bijbels_Museum,768,627,Museum,Extant,Foundation,Group,1,NLD,NLD.9_1,NLD.9.4_1,2742805675,node,0,,nld,0,https://cdli.mpiwg-berlin.mpg.de/collections/627
,"Bijbels Openlucht Museum, Heilig Landstichting, Holland",Q1514270,Museumpark Orientalis,Museumpark Orientalis,nld,https://www.museumparkorientalis.nl,,https://nl.wikipedia.org/wiki/Museumpark_Orientalis_Heilig_Land_Stichting,769,650,Museum,Extant,Foundation,Group,1,NLD,NLD.4_1,NLD.4.44_1,3249439145,node,0,,nld,0,https://cdli.mpiwg-berlin.mpg.de/collections/650
,"Birmingham Museum of Art, Birmingham, Alabama, USA",Q865736,Birmingham Museum of Art,Birmingham Museum of Art,eng,https://www.artsbma.org,https://en.wikipedia.org/wiki/Birmingham_Museum_of_Art,https://en.wikipedia.org/wiki/Birmingham_Museum_of_Art,770,1186,Museum,Extant,Agency,Public,1,USA,USA.1_1,USA.1.37_1,,,4050005,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/1186
,"Blackburn Museum and Art Gallery, Blackburn, UK",Q15199595,Blackburn Museum and Art Gallery,Blackburn Museum and Art Gallery,eng,https://blackburnmuseum.org.uk,https://en.wikipedia.org/wiki/Blackburn_Museum_and_Art_Gallery,https://en.wikipedia.org/wiki/Blackburn_Museum_and_Art_Gallery,771,331,Museum,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.5_1,294440013,way,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/331
,"Blanchet, France",,Blanchet Collection,,,,,,772,218,Collection,Unknown,Person,Individual,0,FRA,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/218
,"Bolano, Lamas",,Lamas Bolano Collection,,,,,,773,222,Collection,Unknown,Person,Individual,0,,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/222
,"private: Bolano, Lamas, Ecuador ?",,Lamas Bolano Collection,,,,,,774,200,Collection,Unknown,Person,Individual,0,ECU,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/200
,"Bonhams (auction house), London, United Kingdom",Q892447,Bonhams,Bonhams,eng,https://www.bonhams.com,https://en.wikipedia.org/wiki/Bonhams,https://en.wikipedia.org/wiki/Bonhams,775,182,Lot,Extant,Company,Group,0,,,,,,,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/182
,"Borger, Göttingen, Germany",,Borger Collection,,,,,,776,294,Collection,Extant,Person,Individual,0,DEU,DEU.9_1,DEU.9.14_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/294
,"Boson, Aosta, Italy (dispersed?)",,Boson Collection,,,,,,777,957,Collection,Unknown,Person,Individual,0,ITA,ITA.19_1,ITA.19.1_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/957
Q272572,"Boston Public Library, Boston, Massachusetts, USA",Q894583,Boston Public Library,Boston Public Library,eng,https://www.bpl.org,https://en.wikipedia.org/wiki/Boston_Public_Library,https://en.wikipedia.org/wiki/Boston_Public_Library,778,1120,Library,Extant,Agency,Public,1,USA,USA.22_1,USA.22.13_1,,,4931010,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/1120
,"Boucher, France",,Boucher Collection,,,,,,779,544,Collection,Unknown,Person,Individual,0,FRA,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/544
,"Boulay, Lucien, Rouen, France",,Lucien Boulay Collection,,,,,,780,1140,Collection,Unknown,Person,Individual,0,FRA,FRA.9_1,FRA.9.5_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1140
